timestamp,node_id,cpu_percent,memory_mb,disk_io_mbs,network_kbps,latency_ms,error_rate,anomaly_type,severity
2026-09-04T00:00:00Z,node-victoria-01,24.5,4120,12.4,1450,42,0.001,NORMAL,SAFE
2026-09-04T00:05:00Z,node-victoria-01,26.1,4145,13.1,1520,44,0.001,NORMAL,SAFE
2026-09-04T00:10:00Z,node-victoria-01,25.8,4180,11.8,1490,41,0.002,NORMAL,SAFE
2026-09-04T00:15:00Z,node-victoria-02,31.2,5200,18.5,2100,56,0.003,NORMAL,SAFE
2026-09-04T00:20:00Z,node-victoria-01,28.4,4290,14.2,1600,48,0.002,NORMAL,SAFE
2026-09-04T00:25:00Z,node-victoria-03,45.6,6100,28.4,3200,68,0.005,NORMAL,SAFE
2026-09-04T00:30:00Z,node-victoria-01,34.2,4450,16.5,1780,51,0.004,NORMAL,SAFE
2026-09-04T00:35:00Z,node-victoria-02,38.9,5680,21.0,2400,62,0.004,NORMAL,SAFE
2026-09-04T00:40:00Z,node-victoria-01,42.0,4720,19.3,1950,58,0.005,NORMAL,SAFE
2026-09-04T00:45:00Z,node-victoria-01,58.3,5100,24.1,2300,79,0.009,HEAP_DRIFT,WARNING
2026-09-04T00:50:00Z,node-victoria-01,69.5,5890,31.5,3100,112,0.015,HEAP_DRIFT,WARNING
2026-09-04T00:55:00Z,node-victoria-01,84.1,6980,45.2,4800,198,0.042,LATENT_MEMORY_LEAK,WARNING
2026-09-04T01:00:00Z,node-victoria-01,96.8,8420,78.9,8900,485,0.128,HEAP_EXHAUSTION,CRITICAL
2026-09-04T01:05:00Z,node-victoria-01,99.4,9850,92.4,12400,1420,0.485,OUT_OF_MEMORY_CASCADE,FATAL
2026-09-04T01:10:00Z,node-victoria-02,33.0,5230,17.2,2050,54,0.002,NORMAL,SAFE
2026-09-04T01:15:00Z,node-victoria-03,91.2,7400,110.5,28500,890,0.220,DDOS_NETWORK_BURST,CRITICAL
2026-09-04T01:20:00Z,node-victoria-03,94.8,7650,124.0,34200,1150,0.315,DDOS_SYN_FLOOD,FATAL
2026-09-04T01:25:00Z,node-victoria-02,41.5,5410,22.0,2600,65,0.006,NORMAL,SAFE
2026-09-04T01:30:00Z,node-victoria-01,22.1,3850,10.2,1300,38,0.001,RECOVERY_POST_RESTART,SAFE
2026-09-04T01:35:00Z,node-victoria-01,23.5,3920,11.0,1380,40,0.001,NORMAL,SAFE
2026-09-04T01:40:00Z,node-victoria-02,87.4,6800,64.2,7400,320,0.095,SQL_INJECTION_CLUSTER,CRITICAL
2026-09-04T01:45:00Z,node-victoria-02,76.2,6400,48.1,5100,210,0.045,SQL_INJECTION_PROBE,WARNING
2026-09-04T01:50:00Z,node-victoria-02,32.4,5150,16.8,1980,52,0.002,NORMAL,SAFE
2026-09-04T01:55:00Z,node-victoria-03,29.8,4950,15.1,1850,49,0.002,NORMAL,SAFE
